Date,PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI
2015-05-01,96.65,141.54,15.9,15.63,4.67,39.41,11.83,240.0
2015-05-02,126.77,141.54,23.93,15.63,15.69,93.18,36.71,344.0
2015-05-03,106.15,141.54,23.02,15.63,13.12,65.95,81.6,503.0
2015-05-04,86.31,141.54,10.5,15.63,2.69,50.13,36.47797413793104,308.0
2015-05-05,83.99,141.54,0.08,15.63,2.73,34.06,69.57,227.0
2015-05-06,65.11,141.54,4.58,15.63,3.14,22.27,32.26,120.0
2015-05-07,51.03,141.54,20.47,15.63,6.24,15.5,31.44,158.0
2015-05-08,38.73,141.54,19.28,15.63,8.0,20.13,25.7,177.0
2015-05-09,61.12,141.54,17.82,15.63,9.94,39.69,25.9,201.0
2015-05-10,58.44,141.54,17.24,15.63,10.68,54.69,18.89,211.0
2015-05-11,61.49,141.54,16.69,15.63,11.44,42.66,18.2,221.0
2015-05-12,65.39,141.54,16.08,15.63,12.3,27.96,22.35,233.0
2015-05-13,100.92,141.54,18.9,15.63,20.42,31.9,22.84,481.0
2015-05-14,97.48,141.54,30.02,15.63,5.31,36.05,16.26,352.0
2015-05-15,129.27,141.54,28.33,15.63,14.28,70.13,25.4,327.0
2015-05-16,129.58,141.54,28.79,15.63,21.23,17.66,34.42,577.0
2015-05-17,100.57,141.54,18.79,15.63,7.56,38.76,38.83,411.0
2015-05-18,130.34,141.54,17.43,15.63,7.14,52.07,29.05,212.0
2015-05-19,53.24,141.54,15.86,15.63,8.05,36.23,21.58,280.0
2015-05-20,42.0,141.54,18.16,15.63,10.44,17.0,25.5,162.0
2015-05-21,50.1,141.54,14.9,15.63,9.46,30.67,12.91,365.5
2015-05-22,83.69,141.54,17.18,15.63,10.89,41.12,35.61,569.0
2015-05-23,38.88,141.54,16.28,15.63,2.18,26.4,12.47,128.0
2015-05-24,46.89,141.54,16.17,15.63,2.96,41.96,10.74,129.0
2015-05-25,70.96,141.54,15.47,15.63,4.12,23.67,16.01,152.0
2015-05-26,53.66,141.54,14.43,15.63,4.23,14.46,45.64,176.0
2015-05-27,45.49,141.54,13.73,15.63,4.26,12.85,71.85,167.0
2015-05-28,60.86,141.54,16.61,15.63,5.27,14.91,41.19,106.0
2015-05-29,51.93,141.54,17.87,15.63,13.71,15.33,12.88,231.0
2015-05-30,77.87,141.54,17.12,15.63,6.67,46.82,16.67,327.0
2015-05-31,57.59,141.54,15.47,15.63,5.6,41.68,25.51,174.0
2015-06-01,77.22,141.54,15.47,15.63,7.02,71.97,9.56,185.0
2015-06-02,45.29,141.54,12.74,15.63,7.25,18.64,6.32,179.0
2015-06-03,103.78,141.54,13.9,15.63,6.36,7.76,15.27,211.0
2015-06-04,25.14,141.54,18.73,15.63,6.01,38.05,38.52,192.0
2015-06-05,87.03,141.54,17.88,15.63,8.05,23.84,48.22,310.0
2015-06-06,89.6,141.54,19.84,15.63,6.59,48.05,44.78,223.0
2015-06-07,80.69,141.54,16.07,15.63,6.86,39.85,32.65,192.0
2015-06-08,44.75,141.54,16.53,15.63,7.76,9.89,8.07,191.0
2015-06-09,38.11,141.54,11.62,15.63,7.41,3.13,6.69,184.0
2015-06-10,45.5,141.54,15.59,15.63,8.56,0.76,3.82,220.0
2015-06-11,36.98,141.54,11.52,15.63,8.21,0.52,5.17,215.0
2015-06-12,43.58,141.54,13.33,15.63,8.26,1.02,7.56,226.0
2015-06-13,45.49,141.54,14.91,15.63,9.63,0.81,2.94,251.0
2015-06-14,38.06,141.54,18.57,15.63,8.67,1.05,4.63,216.0
2015-06-15,45.41,141.54,20.55,15.63,9.35,0.74,4.5,237.0
2015-06-16,37.71,141.54,16.26,15.63,8.54,0.87,4.6,198.0
2015-06-17,32.37,141.54,14.36,15.63,7.53,2.17,12.17,195.0
2015-06-18,34.74,141.54,13.51,15.63,7.59,4.11,12.22,187.0
2015-06-19,32.56,141.54,13.91,15.63,7.34,4.04,11.85,181.0
2015-06-20,29.28,141.54,11.68,15.63,7.55,4.01,12.64,179.0
2015-06-21,20.46,141.54,10.61,15.63,7.15,5.62,12.7,188.0
2015-06-22,26.07,141.54,11.07,15.63,7.99,4.1,10.57,190.0
2015-06-23,21.43,141.54,11.16,15.63,7.45,4.99,7.38,185.0
2015-06-24,11.91,141.54,10.1,15.63,7.34,10.86,5.47,189.0
2015-06-25,57.75,141.54,9.68,15.63,8.68,12.28,3.06,196.0
2015-06-26,66.39,141.54,12.79,15.63,8.58,11.09,4.96,201.0
2015-06-27,62.61,141.54,9.83,15.63,9.15,12.31,6.44,231.0
2015-06-28,47.5,141.54,9.53,15.63,8.07,13.91,7.28,196.0
2015-06-29,111.8,141.54,11.51,15.63,9.23,5.27,5.99,220.0
